user_id,avg_decision_time,decision_time_variance,accuracy_rate,fast_but_wrong_freq,slow_but_correct_freq,speed_consistency_index,decision_style,decision_style_label
U01,2.93375,1.0469419871794874,0.4,0.0,0.2,0.4974305583992226,1,Slow & Accurate
U02,2.111,0.6700502564102565,0.475,0.05,0.05,0.5530150234801725,2,Balanced
U03,2.82825,0.8579481410256412,0.425,0.0,0.15,0.522301372377951,1,Slow & Accurate
U04,2.62,0.6627487179487178,0.275,0.025,0.05,0.5543688303863951,2,Balanced
U05,2.6427500000000004,0.8469691666666666,0.6,0.0,0.2,0.5239078539505251,1,Slow & Accurate
U06,3.844,0.5969066666666667,0.375,0.0,0.275,0.5672539845645828,0,Fast & Risky
U07,3.09675,0.6433404487179487,0.375,0.0,0.225,0.5580371027335759,0,Fast & Risky
U08,3.7775,0.6532089743589743,0.525,0.0,0.45,0.5561590392596243,0,Fast & Risky
U09,2.46175,0.6632968589743589,0.425,0.025,0.075,0.5542667086948878,2,Balanced
U10,3.3875,0.5851576923076922,0.5,0.0,0.3,0.5696923004772068,0,Fast & Risky
U11,3.1012500000000003,0.4955753205128205,0.475,0.0,0.25,0.589930207769026,0,Fast & Risky
U12,1.7267499999999998,0.5244173717948718,0.425,0.075,0.0,0.5830708991181761,2,Balanced
U13,3.2004999999999995,0.8730869230769229,0.45,0.025,0.3,0.5201188774164399,1,Slow & Accurate
U14,4.8165,0.3908233333333333,0.475,0.0,0.475,0.6183164999682933,0,Fast & Risky
U15,3.6575,0.6441115384615385,0.4,0.0,0.25,0.5578893832070241,0,Fast & Risky
U16,4.7205,0.5758920512820513,0.5,0.0,0.5,0.5716475831249098,0,Fast & Risky
U17,2.93875,0.760113782051282,0.45,0.0,0.175,0.5373807406692255,1,Slow & Accurate
U18,3.9885,0.6053053846153846,0.45,0.0,0.375,0.5655382426897395,0,Fast & Risky
U19,2.575,0.5827538461538462,0.5,0.0,0.15,0.5701967925596232,0,Fast & Risky
U20,3.07325,0.6412430128205129,0.625,0.0,0.325,0.5584397589370608,0,Fast & Risky
U21,2.4865000000000004,0.5682182051282052,0.425,0.025,0.05,0.573289197062877,2,Balanced
U22,4.2175,0.8629320512820515,0.525,0.0,0.475,0.5215787295444295,3,Inconsistent
U23,2.1685000000000003,0.44489,0.5,0.025,0.0,0.6029143181197575,2,Balanced
U24,4.04125,1.122759935897436,0.425,0.0,0.3,0.488692918752108,1,Slow & Accurate
U25,3.78925,0.7236686538461539,0.5,0.0,0.4,0.5434823156584256,3,Inconsistent
U26,4.00425,0.8173635256410257,0.45,0.0,0.4,0.5283432248041189,3,Inconsistent
U27,4.7555,0.7208407692307691,0.575,0.0,0.575,0.5439679929269613,3,Inconsistent
U28,3.67825,0.6906301923076923,0.425,0.0,0.3,0.5492731339486547,0,Fast & Risky
U29,2.4425000000000003,0.7121935897435898,0.5,0.025,0.1,0.5454644879838827,2,Balanced
U30,3.5295,0.9877433333333334,0.5,0.025,0.35,0.5047061368994636,1,Slow & Accurate
U31,3.21525,0.8400717307692309,0.45,0.0,0.25,0.5249275420577235,1,Slow & Accurate
U32,3.3745000000000003,0.984707435897436,0.475,0.0,0.175,0.5050908877307544,1,Slow & Accurate
U33,2.44925,0.6240378846153846,0.375,0.025,0.075,0.5617902798856563,2,Balanced
U34,2.9130000000000003,0.6397035897435899,0.425,0.025,0.075,0.5587360802679988,2,Balanced
U35,1.73525,0.6352255769230769,0.525,0.1,0.025,0.5596018774414685,2,Balanced
U36,4.652499999999999,0.5912192307692308,0.525,0.0,0.525,0.5684286856749318,0,Fast & Risky
U37,1.594,0.7212502564102564,0.325,0.225,0.0,0.5438975525392764,2,Balanced
U38,1.916,0.55144,0.4,0.125,0.025,0.5769511696062223,2,Balanced
U39,2.78275,0.9249896794871794,0.5,0.0,0.2,0.5129084443294314,1,Slow & Accurate
U40,2.77175,0.4540404487179487,0.275,0.0,0.15,0.6004746958467178,2,Balanced
U41,2.5645,0.8849484615384616,0.45,0.025,0.1,0.5184346001308092,1,Slow & Accurate
U42,1.8745,0.5309689743589744,0.35,0.075,0.025,0.5815610002764527,2,Balanced
U43,2.329,0.6777220512820512,0.425,0.05,0.075,0.55160753481398,2,Balanced
U44,2.9925,0.7907884615384615,0.325,0.025,0.075,0.5324596072868256,2,Balanced
U45,3.84975,0.6345563461538462,0.5,0.0,0.4,0.5597317620739888,0,Fast & Risky
U46,3.472,0.6482215384615384,0.525,0.0,0.4,0.5571048208550086,0,Fast & Risky
U47,2.85725,0.6134101923076923,0.6,0.0,0.225,0.5639035052220156,0,Fast & Risky
U48,1.94175,0.6075430128205129,0.375,0.05,0.025,0.5650848778597498,2,Balanced
U49,3.69475,0.6311589102564102,0.45,0.0,0.275,0.5603931308992679,0,Fast & Risky
U50,4.436999999999999,0.8207907692307693,0.4,0.0,0.375,0.527821839703051,3,Inconsistent
